word,reliable,unreliable,average reliable,avg unrelabie
salt,48,57,-9,0.542857143
du,36,45,-9,0.555555556
m,5,14,-9,0.736842105
usa,0,9,-9,1
john,0,9,-9,1
strategic,234,242,-8,0.508403361
throw,229,237,-8,0.508583691
anywhere,192,200,-8,0.510204082
devices,154,162,-8,0.512658228
bombs,142,150,-8,0.51369863
waste,126,134,-8,0.515384615
united,104,112,-8,0.518518519
ugly,101,109,-8,0.519047619
publications,53,61,-8,0.535087719
senate,20,28,-8,0.583333333
x,6,14,-8,0.7
politico,1,9,-8,0.9
dan,1,9,-8,0.9
joe,0,8,-8,1
putin,0,8,-8,1
peace,407,414,-7,0.504263094
progressive,227,234,-7,0.507592191
contained,194,201,-7,0.508860759
assistance,183,190,-7,0.509383378
rid,156,163,-7,0.510971787
depends,143,150,-7,0.511945392
refer,143,150,-7,0.511945392
2000,139,146,-7,0.512280702
resist,125,132,-7,0.513618677
credibility,123,130,-7,0.513833992
physically,115,122,-7,0.514767932
theft,82,89,-7,0.520467836
smoking,81,88,-7,0.520710059
oath,81,88,-7,0.520710059
donate,73,80,-7,0.522875817
span,71,78,-7,0.523489933
soil,66,73,-7,0.525179856
carrier,59,66,-7,0.528
yes,49,56,-7,0.533333333
hurricane,34,41,-7,0.546666667
fisher,1,8,-7,0.888888889
obama,1,8,-7,0.888888889
russian,0,7,-7,1
muslim,0,7,-7,1
christian,0,7,-7,1
americans,0,7,-7,1
blood,339,345,-6,0.504385965
engage,228,234,-6,0.506493506
stunning,153,159,-6,0.509615385
properly,132,138,-6,0.511111111
violate,120,126,-6,0.512195122
acceptable,98,104,-6,0.514851485
observers,92,98,-6,0.515789474
lifestyle,82,88,-6,0.517647059
accountability,58,64,-6,0.524590164
oval,13,19,-6,0.59375
ben,1,7,-6,0.875
muslims,1,7,-6,0.875
brotherhood,1,7,-6,0.875
thanksgiving,1,7,-6,0.875
sean,0,6,-6,1
zionist,0,6,-6,1
india,0,6,-6,1
robert,0,6,-6,1
syria,0,6,-6,1
essential,213,218,-5,0.505800464
liberals,161,166,-5,0.50764526
upcoming,149,154,-5,0.508250825
intellectual,145,150,-5,0.508474576
rapid,130,135,-5,0.509433962
error,108,113,-5,0.511312217
disagree,104,109,-5,0.511737089
mine,102,107,-5,0.511961722
grab,93,98,-5,0.513089005
cent,73,78,-5,0.516556291
honestly,55,60,-5,0.52173913
kingdom,36,41,-5,0.532467532
jack,9,14,-5,0.608695652
allen,2,7,-5,0.777777778
uber,1,6,-5,0.857142857
pacific,1,6,-5,0.857142857
nazi,1,6,-5,0.857142857
medicare,0,5,-5,1
smith,0,5,-5,1
wikileaks,0,5,-5,1
mexican,0,5,-5,1
tom,0,5,-5,1
us,2214,2218,-4,0.500451264
whole,855,859,-4,0.501166861
happen,520,524,-4,0.501915709
controversial,260,264,-4,0.503816794
west,153,157,-4,0.506451613
maintaining,138,142,-4,0.507142857
assured,135,139,-4,0.50729927
repeat,123,127,-4,0.508
responses,117,121,-4,0.508403361
confused,91,95,-4,0.510752688
laugh,65,69,-4,0.514925373
riots,63,67,-4,0.515384615
1991,52,56,-4,0.518518519
trumps,11,15,-4,0.576923077
fort,3,7,-4,0.7
yahoo,0,4,-4,1
africa,0,4,-4,1
ryan,0,4,-4,1
spanish,0,4,-4,1
michael,0,4,-4,1
j,0,4,-4,1
jews,0,4,-4,1
thomas,0,4,-4,1
hollywood,0,4,-4,1
vladimir,0,4,-4,1
european,0,4,-4,1
europe,0,4,-4,1
halloween,0,4,-4,1
puerto,0,4,-4,1
choose,412,415,-3,0.501813785
eating,181,184,-3,0.504109589
deliberately,124,127,-3,0.505976096
exposure,116,119,-3,0.506382979
torture,96,99,-3,0.507692308
tons,80,83,-3,0.509202454
refuge,74,77,-3,0.509933775
foundations,53,56,-3,0.513761468
supreme,46,49,-3,0.515789474
navy,28,31,-3,0.525423729
bush,10,13,-3,0.565217391
fox,9,12,-3,0.571428571
k,2,5,-3,0.714285714
bob,2,5,-3,0.714285714
soviet,1,4,-3,0.8
islam,1,4,-3,0.8
indians,0,3,-3,1
latin,0,3,-3,1
ali,0,3,-3,1
york,0,3,-3,1
pentagon,0,3,-3,1
german,0,3,-3,1
soros,0,3,-3,1
mexico,0,3,-3,1
california,0,3,-3,1
sept,0,3,-3,1
carter,0,3,-3,1
paul,0,3,-3,1
remove,336,338,-2,0.50148368
definitely,280,282,-2,0.501779359
shares,205,207,-2,0.502427184
ideology,131,133,-2,0.503787879
capitol,8,10,-2,0.555555556
catholic,3,5,-2,0.625
moreover,3,5,-2,0.625
eu,3,5,-2,0.625
chris,2,4,-2,0.666666667
isis,1,3,-2,0.75
florida,1,3,-2,0.75
james,0,2,-2,1
nato,0,2,-2,1
jesus,0,2,-2,1
gop,0,2,-2,1
iphone,0,2,-2,1
fbi,0,2,-2,1
obamas,0,2,-2,1
instagram,0,2,-2,1
african,0,2,-2,1
israel,0,2,-2,1
christians,0,2,-2,1
steve,0,2,-2,1
hitler,0,2,-2,1
asian,0,2,-2,1
richard,0,2,-2,1
carolina,0,2,-2,1
hispanic,0,2,-2,1
abc,0,2,-2,1
british,0,2,-2,1
germany,0,2,-2,1
kong,0,2,-2,1
olympics,0,2,-2,1
cuba,0,2,-2,1
zika,0,2,-2,1
october,0,2,-2,1
uk,0,2,-2,1
november,0,2,-2,1
rick,0,2,-2,1
joseph,0,2,-2,1
indian,0,2,-2,1
chicago,0,2,-2,1
lee,0,2,-2,1
knowledge,333,334,-1,0.500749625
danger,243,244,-1,0.501026694
fundamental,221,222,-1,0.501128668
device,174,175,-1,0.501432665
religion,164,165,-1,0.501519757
precisely,162,163,-1,0.501538462
appreciate,162,163,-1,0.501538462
obtain,160,161,-1,0.501557632
surface,150,151,-1,0.50166113
forth,149,150,-1,0.501672241
observed,139,140,-1,0.501792115
racism,128,129,-1,0.501945525
turnout,95,96,-1,0.502617801
ships,88,89,-1,0.502824859
jihadists,71,72,-1,0.503496503
diplomacy,65,66,-1,0.503816794
worlds,34,35,-1,0.507246377
china,10,11,-1,0.523809524
pic,5,6,-1,0.545454545
id,5,6,-1,0.545454545
silicon,4,5,-1,0.555555556
furthermore,3,4,-1,0.571428571
peter,2,3,-1,0.6
susan,1,2,-1,0.666666667
adam,1,2,-1,0.666666667
miller,1,2,-1,0.666666667
latino,1,2,-1,0.666666667
pence,1,2,-1,0.666666667
mary,1,2,-1,0.666666667
erdogan,0,1,-1,1
italian,0,1,-1,1
pakistan,0,1,-1,1
eric,0,1,-1,1
jackson,0,1,-1,1
aaron,0,1,-1,1
seattle,0,1,-1,1
kelly,0,1,-1,1
mateen,0,1,-1,1
orlando,0,1,-1,1
arabs,0,1,-1,1
jewish,0,1,-1,1
klein,0,1,-1,1
libya,0,1,-1,1
khan,0,1,-1,1
ann,0,1,-1,1
kansas,0,1,-1,1
chinese,0,1,-1,1
matt,0,1,-1,1
palestinians,0,1,-1,1
gaza,0,1,-1,1
joel,0,1,-1,1
hamas,0,1,-1,1
santa,0,1,-1,1
kennedy,0,1,-1,1
stein,0,1,-1,1
palestinian,0,1,-1,1
paris,0,1,-1,1
roberts,0,1,-1,1
dr,0,1,-1,1
breitbart,0,1,-1,1
atlanta,0,1,-1,1
taylor,0,1,-1,1
texas,0,1,-1,1
afghan,0,1,-1,1
todd,0,1,-1,1
gary,0,1,-1,1
charlie,0,1,-1,1
april,0,1,-1,1
july,0,1,-1,1
alex,0,1,-1,1
poland,0,1,-1,1
ukraine,0,1,-1,1
ceo,0,1,-1,1
ireland,0,1,-1,1
irish,0,1,-1,1
edward,0,1,-1,1
canada,0,1,-1,1
bashar,0,1,-1,1
kim,0,1,-1,1
weiner,0,1,-1,1
anthony,0,1,-1,1
moore,0,1,-1,1
abu,0,1,-1,1
atlantic,0,1,-1,1
william,0,1,-1,1
spain,0,1,-1,1
christ,0,1,-1,1
roger,0,1,-1,1
london,0,1,-1,1
comey,0,1,-1,1
jim,0,1,-1,1
stewart,0,1,-1,1
calif,0,1,-1,1
arabia,0,1,-1,1
saudi,0,1,-1,1
nbc,0,1,-1,1
cnn,0,1,-1,1
donald,0,1,-1,1
russians,0,1,-1,1
brexit,0,1,-1,1
bloomberg,0,1,-1,1
goldman,0,1,-1,1
george,0,1,-1,1
medicaid,0,1,-1,1
snapchat,0,1,-1,1
tennessee,0,1,-1,1
january,0,1,-1,1
jason,0,1,-1,1
bruce,0,1,-1,1
wisconsin,0,1,-1,1
huma,0,1,-1,1
kaine,0,1,-1,1
islamist,0,1,-1,1
ross,0,1,-1,1
moscow,0,1,-1,1
pr,0,1,-1,1
jon,0,1,-1,1
europeans,0,1,-1,1
henry,0,1,-1,1
monday,0,1,-1,1
biden,0,1,-1,1
asia,0,1,-1,1
bundy,0,1,-1,1
greek,0,1,-1,1
mr,0,1,-1,1
david,0,1,-1,1
activities,274,274,0,0.5
revealed,575,575,0,0.5
reads,106,106,0,0.5
gonna,98,98,0,0.5
journalism,106,106,0,0.5
shadow,134,134,0,0.5
jones,2,2,0,0.5
perry,1,1,0,0.5
lynch,3,3,0,0.5
griffin,1,1,0,0.5
rev,1,1,0,0.5
graham,1,1,0,0.5
phoenix,2,2,0,0.5
ted,1,1,0,0.5
roman,2,2,0,0.5
musk,1,1,0,0.5
pa,1,1,0,0.5
english,1,1,0,0.5
gen,1,0,1,0
jay,1,0,1,0
berkeley,1,0,1,0
ap,1,0,1,0
chelsea,1,0,1,0
melania,1,0,1,0
justin,1,0,1,0
martin,1,0,1,0
jeff,1,0,1,0
milo,1,0,1,0
conway,1,0,1,0
gore,1,0,1,0
san,1,0,1,0
steven,1,0,1,0
sunday,1,0,1,0
alaska,1,0,1,0
kaepernick,1,0,1,0
islamic,2,1,1,0.333333333
mitt,2,1,1,0.333333333
brussels,2,1,1,0.333333333
tony,4,3,1,0.428571429
chuck,5,4,1,0.444444444
rep,5,4,1,0.444444444
ed,7,6,1,0.461538462
nevertheless,47,46,1,0.494623656
instance,69,68,1,0.496350365
primaries,78,77,1,0.496774194
gross,85,84,1,0.49704142
paint,109,108,1,0.497695853
license,123,122,1,0.497959184
wing,125,124,1,0.497991968
violation,186,185,1,0.498652291
attacking,215,214,1,0.498834499
extent,228,227,1,0.498901099
offensive,234,233,1,0.498929336
write,393,392,1,0.499363057
dutch,2,0,2,0
washington,2,0,2,0
kerry,2,0,2,0
maher,2,0,2,0
duke,3,1,2,0.25
flint,3,1,2,0.25
august,5,3,2,0.375
breast,54,52,2,0.490566038
genetic,65,63,2,0.4921875
commentary,88,86,2,0.494252874
contribution,100,98,2,0.494949495
executed,100,98,2,0.494949495
21st,111,109,2,0.495454545
leaks,118,116,2,0.495726496
worldwide,149,147,2,0.496621622
footage,152,150,2,0.496688742
donations,157,155,2,0.496794872
reasonable,161,159,2,0.496875
deeper,184,182,2,0.49726776
humanitarian,185,183,2,0.497282609
correct,197,195,2,0.49744898
primarily,203,201,2,0.497524752
consequences,250,248,2,0.497991968
believes,452,450,2,0.498891353
michelle,3,0,3,0
josh,3,0,3,0
french,4,1,3,0.2
parenthood,4,1,3,0.2
stone,76,73,3,0.489932886
populations,97,94,3,0.492146597
presumably,102,99,3,0.492537313
violating,123,120,3,0.49382716
tape,128,125,3,0.494071146
entry,204,201,3,0.496296296
recognize,278,275,3,0.497287523
basis,291,288,3,0.497409326
cubs,7,3,4,0.3
walker,7,3,4,0.3
baker,7,3,4,0.3
wells,21,17,4,0.447368421
pot,61,57,4,0.483050847
lobbyists,71,67,4,0.485507246
camps,94,90,4,0.489130435
mutual,116,112,4,0.49122807
attitude,127,123,4,0.492
threaten,131,127,4,0.492248062
blind,134,130,4,0.492424242
upper,135,131,4,0.492481203
definition,139,135,4,0.49270073
types,213,209,4,0.495260664
gain,314,310,4,0.496794872
equality,71,66,5,0.481751825
chronic,85,80,5,0.484848485
forgotten,109,104,5,0.488262911
apologize,115,110,5,0.488888889
odd,118,113,5,0.489177489
burning,127,122,5,0.489959839
feed,171,166,5,0.492581602
trend,175,170,5,0.492753623
videos,283,278,5,0.495543672
warren,6,0,6,0
tv,21,15,6,0.416666667
bell,26,20,6,0.434782609
advertisement,40,34,6,0.459459459
integration,57,51,6,0.472222222
depression,60,54,6,0.473684211
tomorrow,62,56,6,0.474576271
database,71,65,6,0.477941176
elderly,79,73,6,0.480263158
alien,114,108,6,0.486486486
teach,118,112,6,0.486956522
units,125,119,6,0.487704918
intent,193,187,6,0.492105263
territory,217,211,6,0.492990654
mike,8,1,7,0.111111111
turkey,18,11,7,0.379310345
prince,20,13,7,0.393939394
jihad,37,30,7,0.447761194
cruise,79,72,7,0.476821192
substance,94,87,7,0.480662983
farmers,102,95,7,0.482233503
topics,109,102,7,0.483412322
theory,207,200,7,0.491400491
brings,226,219,7,0.492134831
afraid,238,231,7,0.492537313
desire,326,319,7,0.494573643
mentioned,335,328,7,0.494720965
provides,353,346,7,0.494992847
agree,424,417,7,0.495838288
prevent,546,539,7,0.496774194
queens,10,2,8,0.166666667
guardian,20,12,8,0.375
fathers,61,53,8,0.464912281
nationalism,67,59,8,0.468253968
earthquake,68,60,8,0.46875
hackers,79,71,8,0.473333333
abuses,87,79,8,0.475903614
meat,95,87,8,0.478021978
raw,111,103,8,0.481308411
implications,117,109,8,0.482300885
sponsored,139,131,8,0.485185185
creates,155,147,8,0.486754967
disease,161,153,8,0.487261146
connections,169,161,8,0.487878788
institutions,236,228,8,0.49137931
learn,461,453,8,0.495623632
elected,615,607,8,0.496726678
gov,15,6,9,0.285714286
lord,20,11,9,0.35483871
temple,24,15,9,0.384615385
frank,25,16,9,0.390243902
recession,51,42,9,0.451612903
disorder,58,49,9,0.457943925
killer,66,57,9,0.463414634
sky,80,71,9,0.470198675
situations,87,78,9,0.472727273
hearts,93,84,9,0.474576271
blacks,94,85,9,0.474860335
wisdom,103,94,9,0.47715736
mandate,119,110,9,0.480349345
producing,129,120,9,0.481927711
denying,134,125,9,0.482625483
refusing,189,180,9,0.487804878
connected,286,277,9,0.492007105
thinks,310,301,9,0.492635025
effective,361,352,9,0.49368864
admiral,16,6,10,0.272727273
hill,42,32,10,0.432432432
fleet,60,50,10,0.454545455
bears,84,74,10,0.46835443
assassination,91,81,10,0.470930233
replied,94,84,10,0.471910112
stops,134,124,10,0.480620155
sector,144,134,10,0.482014388
solid,160,150,10,0.483870968
politician,203,193,10,0.487373737
successfully,205,195,10,0.4875
protection,276,266,10,0.490774908
impossible,312,302,10,0.491856678
physical,390,380,10,0.493506494
citizens,561,551,10,0.495503597
must,1480,1470,10,0.498305085
marine,35,24,11,0.406779661
911,48,37,11,0.435294118
globalization,54,43,11,0.443298969
index,57,46,11,0.446601942
expenses,70,59,11,0.457364341
comparison,87,76,11,0.466257669
structures,88,77,11,0.466666667
donor,107,96,11,0.472906404
hole,118,107,11,0.475555556
leftist,120,109,11,0.475982533
spreading,132,121,11,0.47826087
dog,138,127,11,0.479245283
demonstrate,143,132,11,0.48
bunch,162,151,11,0.482428115
fighters,210,199,11,0.486552567
reasons,396,385,11,0.492957746
avenue,21,9,12,0.3
woods,32,20,12,0.384615385
giants,53,41,12,0.436170213
radar,66,54,12,0.45
villages,77,65,12,0.457746479
contractors,79,67,12,0.45890411
compound,81,69,12,0.46
techniques,92,80,12,0.465116279
industries,103,91,12,0.469072165
horror,114,102,12,0.472222222
disclosure,115,103,12,0.472477064
incidents,119,107,12,0.473451327
ship,139,127,12,0.477443609
preventing,141,129,12,0.477777778
recognition,144,132,12,0.47826087
alive,147,135,12,0.478723404
incident,262,250,12,0.48828125
wake,270,258,12,0.488636364
ruling,346,334,12,0.491176471
investigation,903,891,12,0.496655518
mills,16,3,13,0.157894737
gates,45,32,13,0.415584416
agriculture,60,47,13,0.439252336
magic,86,73,13,0.459119497
reader,91,78,13,0.461538462
troubling,104,91,13,0.466666667
scared,111,98,13,0.468899522
interference,119,106,13,0.471111111
mouth,121,108,13,0.471615721
medicine,128,115,13,0.473251029
researcher,142,129,13,0.47601476
manner,168,155,13,0.479876161
swing,171,158,13,0.480243161
campaigns,182,169,13,0.481481481
intention,184,171,13,0.481690141
severe,226,213,13,0.485193622
acts,285,272,13,0.488330341
pregnancy,64,50,14,0.438596491
province,93,79,14,0.459302326
emotions,93,79,14,0.459302326
joy,99,85,14,0.461956522
dying,122,108,14,0.469565217
bold,135,121,14,0.47265625
airstrikes,140,126,14,0.473684211
flag,187,173,14,0.480555556
borders,222,208,14,0.48372093
designed,472,458,14,0.492473118
water,573,559,14,0.493816254
bullets,54,39,15,0.419354839
garden,61,46,15,0.429906542
moon,61,46,15,0.429906542
53,74,59,15,0.443609023
deleted,84,69,15,0.450980392
jet,88,73,15,0.453416149
stocks,100,85,15,0.459459459
artificial,114,99,15,0.464788732
initiative,114,99,15,0.464788732
possession,119,104,15,0.466367713
theories,119,104,15,0.466367713
organizing,122,107,15,0.467248908
command,144,129,15,0.472527473
map,168,153,15,0.476635514
industrial,206,191,15,0.481108312
century,235,220,15,0.483516484
posts,251,236,15,0.484599589
personally,270,255,15,0.485714286
freedom,371,356,15,0.489683631
influence,593,578,15,0.493595218
bowl,45,29,16,0.391891892
uncle,55,39,16,0.414893617
pollution,70,54,16,0.435483871
zones,76,60,16,0.441176471
fault,98,82,16,0.455555556
spy,107,91,16,0.45959596
stability,107,91,16,0.45959596
alert,110,94,16,0.460784314
consensus,137,121,16,0.468992248
agreements,141,125,16,0.469924812
generations,142,126,16,0.470149254
solve,148,132,16,0.471428571
atmosphere,151,135,16,0.472027972
circumstances,163,147,16,0.474193548
slowly,186,170,16,0.47752809
titled,186,170,16,0.47752809
targets,215,199,16,0.480676329
imagine,314,298,16,0.486928105
simple,450,434,16,0.490950226
anyone,955,939,16,0.495776135
lake,35,18,17,0.339622642
mount,57,40,17,0.412371134
1994,76,59,17,0.437037037
sweet,84,67,17,0.443708609
prayer,102,85,17,0.454545455
charity,107,90,17,0.456852792
underground,109,92,17,0.457711443
suspicious,116,99,17,0.460465116
guidelines,130,113,17,0.465020576
wonderful,146,129,17,0.469090909
incredible,158,141,17,0.471571906
involves,178,161,17,0.474926254
billionaire,243,226,17,0.481876333
seems,1030,1013,17,0.495839452
frankly,59,41,18,0.41
2020,67,49,18,0.422413793
subjects,109,91,18,0.455
journal,111,93,18,0.455882353
cry,112,94,18,0.45631068
smoke,127,109,18,0.461864407
locations,134,116,18,0.464
stress,148,130,18,0.467625899
guarantee,152,134,18,0.468531469
tactics,190,172,18,0.475138122
fairly,195,177,18,0.475806452
harm,224,206,18,0.479069767
demanding,243,225,18,0.480769231
supporting,465,447,18,0.490131579
everything,891,873,18,0.494897959
valley,30,11,19,0.268292683
federation,33,14,19,0.29787234
queen,49,30,19,0.379746835
debates,120,101,19,0.457013575
treating,130,111,19,0.460580913
seeks,153,134,19,0.466898955
bomb,231,212,19,0.478555305
supports,235,216,19,0.478935698
candidates,478,459,19,0.489861259
supporters,767,748,19,0.493729373
jersey,24,4,20,0.142857143
pope,30,10,20,0.25
gulf,33,13,20,0.282608696
churches,74,54,20,0.421875
registration,74,54,20,0.421875
crying,85,65,20,0.433333333
experiment,86,66,20,0.434210526
rating,96,76,20,0.441860465
instructions,111,91,20,0.45049505
minute,139,119,20,0.46124031
depending,140,120,20,0.461538462
choosing,151,131,20,0.464539007
headlines,153,133,20,0.465034965
consistently,174,154,20,0.469512195
acknowledge,189,169,20,0.472067039
elements,211,191,20,0.475124378
establish,212,192,20,0.475247525
appears,743,723,20,0.493178718
bay,31,10,21,0.243902439
airlines,47,26,21,0.356164384
rifle,67,46,21,0.407079646
1997,74,53,21,0.417322835
trash,76,55,21,0.419847328
subsidies,93,72,21,0.436363636
homeless,95,74,21,0.437869822
tree,98,77,21,0.44
nowhere,104,83,21,0.443850267
babies,104,83,21,0.443850267
description,116,95,21,0.450236967
declare,141,120,21,0.459770115
independence,155,134,21,0.46366782
prefer,173,152,21,0.467692308
fix,222,201,21,0.475177305
exercise,234,213,21,0.476510067
appropriate,242,221,21,0.477321814
meaning,327,306,21,0.483412322
entirely,396,375,21,0.486381323
author,719,698,21,0.492589979
understand,861,840,21,0.49382716
holder,34,12,22,0.260869565
royal,57,35,22,0.380434783
prisons,63,41,22,0.394230769
47,73,51,22,0.411290323
sample,86,64,22,0.426666667
weird,90,68,22,0.430379747
punishment,102,80,22,0.43956044
declaration,103,81,22,0.440217391
flat,108,86,22,0.443298969
wanting,145,123,22,0.458955224
posting,163,141,22,0.463815789
contacted,166,144,22,0.464516129
drinking,168,146,22,0.464968153
thank,180,158,22,0.467455621
bear,199,177,22,0.470744681
sharing,224,202,22,0.474178404
marked,229,207,22,0.474770642
soldiers,271,249,22,0.478846154
cannot,969,947,22,0.494258873
mate,57,34,23,0.373626374
amendment,73,50,23,0.406504065
origin,79,56,23,0.414814815
bin,79,56,23,0.414814815
king,81,58,23,0.417266187
epidemic,82,59,23,0.418439716
correspondent,101,78,23,0.43575419
congressman,111,88,23,0.442211055
counted,117,94,23,0.44549763
tracking,117,94,23,0.44549763
stressed,119,96,23,0.446511628
witness,165,142,23,0.462540717
hacking,177,154,23,0.465256798
folks,179,156,23,0.465671642
plant,197,174,23,0.469002695
27,214,191,23,0.471604938
count,239,216,23,0.474725275
aide,248,225,23,0.475687104
paper,353,330,23,0.483162518
aware,437,414,23,0.486486486
shown,469,446,23,0.487431694
human,1053,1030,23,0.494479117
cartel,61,37,24,0.37755102
library,69,45,24,0.394736842
1992,81,57,24,0.413043478
trials,84,60,24,0.416666667
enterprise,85,61,24,0.417808219
viral,94,70,24,0.426829268
tolerance,95,71,24,0.427710843
patterns,102,78,24,0.433333333
premiums,104,80,24,0.434782609
prosecution,124,100,24,0.446428571
races,124,100,24,0.446428571
fields,130,106,24,0.449152542
towns,141,117,24,0.453488372
violations,157,133,24,0.45862069
letting,177,153,24,0.463636364
notice,212,188,24,0.47
admitted,346,322,24,0.482035928
hate,370,346,24,0.483240223
daily,451,427,24,0.486332574
1980,65,40,25,0.380952381
51,85,60,25,0.413793103
lady,94,69,25,0.423312883
mystery,100,75,25,0.428571429
participants,125,100,25,0.444444444
checked,132,107,25,0.447698745
ought,162,137,25,0.45819398
sad,168,143,25,0.459807074
transfer,172,147,25,0.460815047
mainly,183,158,25,0.463343109
cancer,189,164,25,0.464589235
grand,206,181,25,0.467700258
protected,206,181,25,0.467700258
resulted,224,199,25,0.470449173
difference,353,328,25,0.48164464
exchange,363,338,25,0.482168331
reporting,385,360,25,0.483221477
easily,443,418,25,0.485481998
accept,471,446,25,0.486368593
circuit,39,13,26,0.25
sheriff,57,31,26,0.352272727
defendants,75,49,26,0.39516129
sum,85,59,26,0.409722222
impeachment,86,60,26,0.410958904
orange,91,65,26,0.416666667
marijuana,98,72,26,0.423529412
felony,104,78,26,0.428571429
random,105,79,26,0.429347826
taxpayer,108,82,26,0.431578947
petition,117,91,26,0.4375
lesson,124,98,26,0.441441441
2007,147,121,26,0.451492537
goods,147,121,26,0.451492537
principles,170,144,26,0.458598726
terrible,212,186,26,0.467336683
escape,227,201,26,0.469626168
cash,279,253,26,0.47556391
bank,299,273,26,0.477272727
states,945,919,26,0.493025751
amnesty,48,21,27,0.304347826
mountains,77,50,27,0.393700787
forum,80,53,27,0.398496241
murders,92,65,27,0.414012739
lock,98,71,27,0.420118343
sue,100,73,27,0.421965318
stations,103,76,27,0.424581006
tears,110,83,27,0.430051813
update,111,84,27,0.430769231
tip,112,85,27,0.431472081
favors,116,89,27,0.434146341
thin,118,91,27,0.435406699
communication,122,95,27,0.437788018
2001,123,96,27,0.438356164
margin,127,100,27,0.440528634
perception,132,105,27,0.443037975
contributions,135,108,27,0.444444444
judgment,137,110,27,0.44534413
rallies,140,113,27,0.446640316
contribute,143,116,27,0.447876448
jury,153,126,27,0.451612903
engaging,163,136,27,0.454849498
militants,168,141,27,0.45631068
assets,180,153,27,0.459459459
tremendous,200,173,27,0.463806971
tensions,232,205,27,0.469107551
associated,350,323,27,0.479940565
politicians,452,425,27,0.484606613
institute,53,25,28,0.320512821
bonds,89,61,28,0.406666667
dad,91,63,28,0.409090909
port,94,66,28,0.4125
demographic,99,71,28,0.417647059
guards,103,75,28,0.421348315
electricity,106,78,28,0.423913043
emphasis,107,79,28,0.424731183
exception,117,89,28,0.432038835
fish,119,91,28,0.433333333
register,120,92,28,0.433962264
savings,123,95,28,0.435779817
veterans,140,112,28,0.444444444
sexually,163,135,28,0.453020134
cheap,176,148,28,0.456790123
friendly,182,154,28,0.458333333
indicate,190,162,28,0.460227273
constant,213,185,28,0.464824121
assembly,54,25,29,0.316455696
literature,72,43,29,0.373913043
1995,77,48,29,0.384
eve,86,57,29,0.398601399
mistakes,94,65,29,0.408805031
soldier,105,76,29,0.419889503
beaten,120,91,29,0.431279621
materials,129,100,29,0.436681223
profound,138,109,29,0.441295547
expression,139,110,29,0.441767068
sorts,145,116,29,0.444444444
gift,160,131,29,0.450171821
rape,170,141,29,0.453376206
location,202,173,29,0.461333333
standard,343,314,29,0.477929985
heritage,85,55,30,0.392857143
raid,88,58,30,0.397260274
noise,92,62,30,0.402597403
fixed,113,83,30,0.423469388
ideal,116,86,30,0.425742574
ill,121,91,30,0.429245283
sufficient,131,101,30,0.435344828
succeeded,132,102,30,0.435897436
sworn,137,107,30,0.43852459
fate,163,133,30,0.449324324
donors,185,155,30,0.455882353
weapon,191,161,30,0.457386364
lots,206,176,30,0.460732984
historical,260,230,30,0.469387755
enjoy,263,233,30,0.469758065
apparently,456,426,30,0.482993197
palm,46,15,31,0.245901639
neck,83,52,31,0.385185185
tonight,91,60,31,0.397350993
attorneys,91,60,31,0.397350993
mile,98,67,31,0.406060606
44,104,73,31,0.412429379
rebel,127,96,31,0.430493274
patient,132,101,31,0.433476395
select,146,115,31,0.440613027
somewhere,160,129,31,0.446366782
heat,169,138,31,0.449511401
damaging,172,141,31,0.450479233
spirit,179,148,31,0.452599388
guns,195,164,31,0.456824513
surveillance,230,199,31,0.463869464
involvement,254,223,31,0.467505241
faith,265,234,31,0.468937876
free,1138,1107,31,0.493095768
recipe,77,45,32,0.368852459
ocean,88,56,32,0.388888889
1998,88,56,32,0.388888889
mom,95,63,32,0.398734177
loan,102,70,32,0.406976744
prohibited,107,75,32,0.412087912
teachers,111,79,32,0.415789474
sleeping,112,80,32,0.416666667
leverage,113,81,32,0.417525773
campaigning,127,95,32,0.427927928
participating,130,98,32,0.429824561
drink,140,108,32,0.435483871
generate,143,111,32,0.437007874
copy,174,142,32,0.449367089
document,252,220,32,0.466101695
straight,286,254,32,0.47037037
